axis,sign,idx,adc0,adc1,d_adc,state0,state1,d_um,rep
A,1,0,2802,2812,10,MANUAL,MANUAL,28.736,0
A,1,0,2799,2793,-6,MANUAL,MANUAL,-17.241,1
A,1,0,2791,2811,20,MANUAL,MANUAL,57.471,2
A,-1,0,2808,2818,10,MANUAL,MANUAL,28.736,0
A,-1,0,2785,2794,9,AUTO,AUTO,25.862,1
A,-1,0,2801,2799,-2,AUTO,AUTO,-5.747,2
A,1,1,2807,2805,-2,AUTO,AUTO,-5.747,0
A,1,1,2810,2809,-1,AUTO,AUTO,-2.874,1
A,1,1,2811,2823,12,AUTO,AUTO,34.483,2
A,-1,1,2810,2805,-5,AUTO,AUTO,-14.368,0
A,-1,1,2796,2824,28,AUTO,AUTO,80.46,1
A,-1,1,2826,2811,-15,AUTO,AUTO,-43.103,2
A,1,2,2816,2793,-23,AUTO,AUTO,-66.092,0
A,1,2,2797,2780,-17,AUTO,AUTO,-48.851,1
A,1,2,2764,2771,7,AUTO,AUTO,20.115,2
A,-1,2,2771,2775,4,AUTO,AUTO,11.494,0
A,-1,2,2774,2778,4,AUTO,AUTO,11.494,1
A,-1,2,2780,2776,-4,AUTO,AUTO,-11.494,2
A,1,3,2794,2805,11,AUTO,AUTO,31.609,0
A,1,3,2813,2804,-9,AUTO,AUTO,-25.862,1
A,1,3,2802,2800,-2,AUTO,AUTO,-5.747,2
A,-1,3,2791,2797,6,AUTO,AUTO,17.241,0
A,-1,3,2792,2816,24,AUTO,AUTO,68.966,1
A,-1,3,2830,2814,-16,AUTO,AUTO,-45.977,2
B,1,0,2999,2954,-45,AUTO,AUTO,-132.587,0
B,1,0,2953,2950,-3,AUTO,AUTO,-8.839,1
B,1,0,2948,2958,10,AUTO,AUTO,29.464,2
B,-1,0,2977,3014,37,AUTO,AUTO,109.016,0
B,-1,0,3014,3009,-5,AUTO,AUTO,-14.732,1
B,-1,0,3008,3002,-6,AUTO,AUTO,-17.678,2
B,1,1,3014,2963,-51,AUTO,AUTO,-150.265,0
B,1,1,2968,2962,-6,AUTO,AUTO,-17.678,1
B,1,1,2967,2979,12,AUTO,AUTO,35.357,2
B,-1,1,2969,2985,16,AUTO,AUTO,47.142,0
B,-1,1,2975,2984,9,AUTO,AUTO,26.517,1
B,-1,1,2988,2986,-2,AUTO,AUTO,-5.893,2
B,1,2,3006,2989,-17,AUTO,AUTO,-50.088,0
B,1,2,2985,2977,-8,AUTO,AUTO,-23.571,1
B,1,2,2973,2981,8,AUTO,AUTO,23.571,2
B,-1,2,2971,2988,17,AUTO,AUTO,50.088,0
B,-1,2,2978,2986,8,AUTO,AUTO,23.571,1
B,-1,2,2996,2997,1,AUTO,AUTO,2.946,2
B,1,3,3009,2995,-14,AUTO,AUTO,-41.249,0
B,1,3,2968,2945,-23,AUTO,AUTO,-67.767,1
B,1,3,2941,2958,17,AUTO,AUTO,50.088,2
B,-1,3,2966,2998,32,AUTO,AUTO,94.284,0
B,-1,3,2991,2981,-10,AUTO,AUTO,-29.464,1
B,-1,3,2962,2946,-16,AUTO,AUTO,-47.142,2
